date,close,low,high,open,volume
20160111,98.5300,99.0600,97.3400,98.9700,49739400
20160112,99.9600,100.6900,98.8400,100.5500,49154200
20160113,97.3900,101.1900,97.3000,100.3200,62439600
20160114,99.5200,100.4800,95.7400,97.9600,63170100
20160115,97.1300,97.7100,95.3600,96.2000,79010000
20160119,96.6600,98.6500,95.5000,98.4100,53087700
20160120,96.7900,98.1900,93.4200,95.1000,72334400
20160121,96.3000,97.8800,94.9400,97.0600,52161500
20160122,101.4200,101.4600,98.3700,98.6300,65800500
20160125,99.4400,101.5300,99.2100,101.5200,51794500
20160126,99.9900,100.8800,98.0700,99.9300,75077000
20160127,93.4200,96.6300,93.3400,96.0400,133369696
20160128,94.0900,94.5200,92.3900,93.7900,55678800
20160129,97.3400,97.3400,94.3500,94.7900,64416500
20160201,96.4300,96.7100,95.4000,96.4700,40943500
20160202,94.4800,96.0400,94.2800,95.4200,37357200
20160203,96.3500,96.8400,94.0800,95.0000,45964300
20160204,96.6000,97.3300,95.1900,95.8600,46471700
20160205,94.0200,96.9200,93.6900,96.5200,46418100
20160208,95.0100,95.7000,93.0400,93.1300,54021400
20160209,94.9900,95.9400,93.9300,94.2900,44331200
20160210,94.2700,96.3500,94.1000,95.9200,42343600
20160211,93.7000,94.7200,92.5900,93.7900,50074700
20160212,93.9900,94.5000,93.0100,94.1900,40351400
20160216,96.6400,96.8500,94.6100,95.0200,49057900
20160217,98.1200,98.2100,96.1500,96.6700,44863200
20160218,96.2600,98.8900,96.0900,98.8400,39021000
20160219,96.0400,96.7600,95.8000,96.0000,35374200
20160222,96.8800,96.9000,95.9200,96.3100,34280800
20160223,94.6900,96.5000,94.5500,96.4000,31942600
20160224,96.1000,96.3800,93.3200,93.9800,36255700
20160225,96.7600,96.7600,95.2500,96.0500,27582700
20160226,96.9100,98.0200,96.5800,97.2000,28991100
20160229,96.6900,98.2300,96.6500,96.8600,35216300
20160301,100.5300,100.7700,97.4200,97.6500,50407100
20160302,100.7500,100.8900,99.6400,100.5100,33169600
20160303,101.5000,101.7100,100.4500,100.5800,36955700
20160304,103.0100,103.7500,101.3700,102.3700,46055100
20160307,101.8700,102.8300,100.9600,102.3900,35828900
20160308,101.0300,101.7600,100.4000,100.7800,31561900
20160309,101.1200,101.5800,100.2700,101.3100,27201700
20160310,101.1700,102.2400,100.1500,101.4100,33513600
20160311,102.2600,102.2800,101.5000,102.2400,27408200
20160314,102.5200,102.9100,101.7800,101.9100,25076100
20160315,104.5800,105.1800,103.8500,103.9600,40067700
20160316,105.9700,106.3100,104.5900,104.6100,38303500
20160317,105.8000,106.4700,104.9600,105.5200,34420700
20160318,105.9200,106.5000,105.1900,106.3400,44205200
20160321,105.9100,107.6500,105.1400,105.9300,35502700
20160322,106.7200,107.2900,105.2100,105.2500,32444400
20160323,106.1300,107.0700,105.9000,106.4800,25703500
20160324,105.6700,106.2500,104.8900,105.4700,26133000
20160328,105.1900,106.1900,105.0600,106.0000,19411400
20160329,107.6800,107.7900,104.8800,104.8900,31190100
20160330,109.5600,110.4200,108.6000,108.6500,45601100
20160331,108.9900,109.9000,108.8800,109.7200,25888400
20160401,109.9900,110.0000,108.2000,108.7800,25874000
20160404,111.1200,112.1900,110.2700,110.4200,37356200
20160405,109.8100,110.7300,109.4200,109.5100,26578700
20160406,110.9600,110.9800,109.2000,110.2300,26404100
20160407,108.5400,110.4200,108.1200,109.9500,31801900
20160408,108.6600,109.7700,108.1700,108.9100,23581700
20160411,109.0200,110.6100,108.8300,108.9700,29407500
20160412,110.4400,110.5000,108.6600,109.3400,27232300
20160413,112.0400,112.3400,110.8000,110.8000,33257300
20160414,112.1000,112.3900,111.3300,111.6200,25473900
20160415,109.8500,112.3000,109.7300,112.1100,46939000
20160418,107.4800,108.9500,106.9400,108.8900,60834000
20160419,106.9100,108.0000,106.2300,107.8800,32384900
20160420,107.1300,108.0900,106.0600,106.6400,30611000
20160421,105.9700,106.9300,105.5200,106.9300,31552500
20160422,105.6800,106.4800,104.6200,105.0100,33683100
20160425,105.0800,105.6500,104.5100,105.0000,28031600
20160426,104.3500,105.3000,103.9100,103.9100,56016200
20160427,97.8200,98.7100,95.6800,96.0000,114602096
20160428,94.8300,97.8800,94.2500,97.6100,82242704
20160429,93.7400,94.7200,92.5100,93.9900,68531504
20160502,93.6400,94.0800,92.4000,93.9700,48160100
20160503,95.1800,95.7400,93.6800,94.2000,56831300
20160504,94.1900,95.9000,93.8200,95.2000,41025500
20160505,93.2400,94.0700,92.6800,94.0000,35890500
20160506,92.7200,93.4500,91.8500,93.3700,43458200
20160509,92.7900,93.7700,92.5900,93.0000,32936400
20160510,93.4200,93.5700,92.1100,93.3300,33686800
20160511,92.5100,93.5700,92.4600,93.4800,28719100
20160512,90.3400,92.7800,89.4700,92.7200,76314704
20160513,90.5200,91.6700,90.0000,90.0000,44392800
20160516,93.8800,94.3900,91.6500,92.3900,61259800
20160517,93.4900,94.7000,93.0100,94.5500,46916900
20160518,94.5600,95.2100,93.8900,94.1600,42062400
20160519,94.2000,94.6400,93.5700,94.6400,30442100
20160520,95.2200,95.4300,94.5200,94.6400,32026000
20160523,96.4300,97.1900,95.6700,95.8700,38018600
20160524,97.9000,98.0900,96.8400,97.2200,35140200
20160525,99.6200,99.7400,98.1100,98.6700,38168800
20160526,100.4100,100.7300,98.6400,99.6800,56331200
20160527,100.3500,100.4700,99.2500,99.4400,36229500
20160531,99.8600,100.4000,98.8200,99.6000,42307200
20160601,98.4600,99.5400,98.3300,99.0200,29173300
20160602,97.7200,97.8400,96.6300,97.6000,40191600
20160603,97.9200,98.2700,97.4500,97.7900,28062900
20160606,98.6300,101.8900,97.5500,97.9900,23292500
20160607,99.0300,99.8700,98.9600,99.2500,22409500
20160608,98.9400,99.5600,98.6800,99.0200,20848100
20160609,99.6500,99.9900,98.4600,98.5000,26601400
20160610,98.8300,99.3500,98.4800,98.5300,31712900
20160613,97.3400,99.1200,97.1000,98.6900,38020500
20160614,97.4600,98.4800,96.7500,97.3200,31931900
20160615,97.1400,98.4100,97.0300,97.8200,29445200
20160616,97.5500,97.7500,96.0700,96.4500,31326800
20160617,95.3300,96.6500,95.3000,96.6200,61008200
20160620,95.1000,96.5700,95.0300,96.0000,34411900
20160621,95.9100,96.3500,94.6800,94.9400,35546400
20160622,95.5500,96.8900,95.3500,96.2500,29219100
20160623,96.1000,96.2900,95.2500,95.9400,32240200
20160624,93.4000,94.6600,92.6500,92.9100,75311400
20160627,92.0400,93.0500,91.5000,93.0000,45489600
20160628,93.5900,93.6600,92.1400,92.9000,40444900
20160629,94.4000,94.5500,93.6300,93.9700,36531000
20160630,95.6000,95.7700,94.3000,94.4400,35836400
20160701,95.8900,96.4700,95.3300,95.4900,26026500
20160705,94.9900,95.4000,94.4600,95.3900,27705200
20160706,95.5300,95.6600,94.3700,94.6000,30949100
20160707,95.9400,96.5000,95.6200,95.7000,25139600
20160708,96.6800,96.8900,96.0500,96.4900,28912100
20160711,96.9800,97.6500,96.7300,96.7500,23794900
20160712,97.4200,97.7000,97.1200,97.1700,24167500
20160713,96.8700,97.6700,96.8400,97.4100,25892200
20160714,98.7900,98.9900,97.3200,97.3900,38919000
20160715,98.7800,99.3000,98.5000,98.9200,30137000
20160718,99.8300,100.1300,98.6000,98.7000,36493900
20160719,99.8700,100.0000,99.3400,99.5600,23779900
20160720,99.9600,100.4600,99.7400,100.0000,26276000
20160721,99.4300,101.0000,99.1300,99.8300,32702000
20160722,98.6600,99.3000,98.3100,99.2600,28313700
20160725,97.3400,98.8400,96.9200,98.2500,40382900
20160726,96.6700,97.9700,96.4200,96.8200,56239800
20160727,102.9500,104.3500,102.7500,104.2700,92344800
20160728,104.3400,104.4500,102.8200,102.8300,39869800
20160729,104.2100,104.5500,103.6800,104.1900,27733700
20160801,106.0500,106.1500,104.4100,104.4100,38167900
20160802,104.4800,106.0700,104.0000,106.0500,33816600
20160803,105.7900,105.8400,104.7700,104.8100,30202600
20160804,105.8700,106.0000,105.2800,105.5800,27408700
20160805,107.4800,107.6500,106.1800,106.2700,40553400
20160808,108.3700,108.3700,107.1600,107.5200,28037200
20160809,108.8100,108.9400,108.0100,108.2300,26315200
20160810,108.0000,108.9000,107.7600,108.7100,24008500
20160811,107.9300,108.9300,107.8500,108.5200,27484500
20160812,108.1800,108.4400,107.7800,107.7800,18660400
20160815,109.4800,109.5400,108.0800,108.1400,25868200
